183	tres	0.077292	52.1	
184	pax	0.077218	52.18	
185	publicus	0.077143	52.26	
186	propter	0.077069	52.33	
187	eo	0.076548	52.41	
188	ordo	0.075507	52.49	
189	dum	0.074986	52.56	
190	fides	0.074986	52.64	
191	moueo	0.074316	52.71	
192	refero	0.074019	52.78	
193	essentia	0.072903	52.86	
194	verbum	0.072829	52.93	
195	regnum	0.072308	53.0	
196	haud	0.072234	53.07	
197	nox	0.072085	53.15	
198	licet	0.071862	53.22	
199	iste	0.07149	53.29	
200	duco	0.071415	53.36	
201	credo	0.071192	53.43	
202	satis	0.070523	53.5	
203	imperium	0.070374	53.57	
204	similis	0.070076	53.64	
205	lex	0.069407	53.71	
206	superus	0.069258	53.78	
207	proprius	0.068663	53.85	
208	socius	0.067993	53.92	
209	species	0.067844	53.99	
210	proelium	0.067175	54.05	
211	praetor	0.067175	54.12	
212	utrum	0.067175	54.19	
213	materia	0.066952	54.26	
214	fortuna	0.066803	54.32	
215	tueor	0.066357	54.39	
216	apud	0.066208	54.45	
217	voluntas	0.065985	54.52	
218	numerus	0.065762	54.59	
219	oppidum	0.065315	54.65	
220	virtus	0.065315	54.72	
221	at	0.064943	54.78	
222	audio	0.064794	54.85	
223	principium	0.064794	54.91	
224	domus	0.064125	54.98	
225	nauis	0.063827	55.04	
226	igitur	0.063232	55.1	
227	redeo	0.063083	55.17	
228	P.	0.062488	55.23	
229	circa	0.062191	55.29	
230	gero	0.061893	55.35	
231	iter	0.061893	55.41	
232	respondeo	0.061819	55.48	
233	quaero	0.061744	55.54	
234	amor	0.06167	55.6	
235	paucus	0.061149	55.66	
236	convenio	0.060926	55.72	
237	modus	0.060926	55.78	
238	volo	0.060777	55.84	
239	scio	0.060405	55.9	
240	medius	0.060331	55.96	
241	uis	0.060257	56.02	
242	os	0.060033	56.08	
243	debeo	0.059959	56.14	
244	potentia	0.059736	56.2	
245	gratia	0.059661	56.26	
246	uolo	0.058843	56.32	
247	hannibal	0.058843	56.38	
248	spiritus	0.058546	56.44	
249	scribo	0.05795	56.5	
250	classis	0.057802	56.56	
251	princeps	0.057727	56.61	
252	supra	0.057355	56.67	
253	invenio	0.057281	56.73	
254	postquam	0.056314	56.78	
255	gens	0.056239	56.84	
256	ius	0.056239	56.9	
257	patior	0.056165	56.95	
258	mare	0.056016	57.01	
259	auxilium	0.055942	57.07	
260	pateo	0.055942	57.12	
261	thos	0.055942	57.18	
262	semper	0.055868	57.23	
263	vinco	0.055421	57.29	
264	significo	0.055421	57.34	
265	coepio	0.054603	57.4	
266	talis	0.053933	57.45	
267	ignis	0.052669	57.51	
268	scilicet	0.052594	57.56	
269	fuga	0.052297	57.61	
270	Q.	0.051627	57.66	
271	prouincia	0.050511	57.71	
272	nosco	0.050437	57.76	
273	aduersus	0.050214	57.81	
274	efficio	0.049916	57.86	
275	perficio	0.049544	57.91	
276	sive	0.04947	57.96	
277	cura	0.049024	58.01	
278	loquor	0.048949	58.06	
279	ullus	0.048875	58.11	
280	equus	0.048726	58.16	
281	e	0.048652	58.21	
282	aequus	0.048577	58.25	
283	ceterus	0.048577	58.3	
284	placeo	0.048503	58.35	
285	ciuitas	0.04828	58.4	
286	caelum	0.047982	58.45	
287	trado	0.047833	58.5	
288	vir	0.047833	58.54	
289	agmen	0.047759	58.59	
290	prope	0.047759	58.64	
291	mens	0.047536	58.69	
292	mereo	0.047313	58.73	
